547,674,691,673,692,719,547,721
545,1546,694,1546,694,1592,545,1593
47,31,163,28,164,46,48,50
139,702,258,700,258,718,139,719
58,199,217,200,217,220,57,218
62,1072,211,1070,211,1088,62,1089
720,1002,792,1001,792,1018,720,1020
101,78,202,75,203,93,101,96
63,358,153,356,154,374,63,376
64,283,161,281,161,299,64,301
285,200,410,198,410,216,285,218
45,905,166,903,166,920,45,922
53,4,160,2,160,18,53,21
62,1229,155,1226,155,1245,62,1247
143,1037,248,1036,249,1053,143,1054
864,675,944,674,944,687,865,687
1055,182,1120,181,1120,197,1055,199
62,1155,161,1153,162,1171,63,1173
721,131,791,129,791,146,722,148
969,13,1029,12,1030,37,969,38
197,1625,283,1623,284,1636,198,1638
161,1510,241,1508,241,1527,161,1528
719,234,795,231,795,248,720,251
925,585,993,582,994,602,925,604
718,181,797,180,797,197,719,199
925,1458,997,1456,997,1474,926,1476
146,1572,256,1574,255,1590,145,1588
980,79,1051,76,1052,95,980,97
723,1105,787,1103,788,1121,723,1123
925,1509,994,1507,995,1526,926,1527
336,1307,410,1305,411,1325,336,1326
1040,1182,1108,1184,1108,1195,1040,1193
422,1307,490,1305,491,1324,422,1326
1041,311,1107,313,1107,325,1040,323
1047,231,1114,230,1115,247,1047,248
1047,1381,1086,1380,1086,1403,1047,1404
721,1053,799,1051,800,1069,721,1071
63,1308,126,1306,126,1325,63,1326
38,755,121,753,122,766,38,767
877,1241,907,1242,906,1253,876,1252
50,876,157,877,157,894,50,893
1047,509,1087,508,1087,529,1048,530
1045,344,1102,342,1102,358,1045,359
96,950,207,947,208,967,97,970
65,1038,130,1037,130,1053,66,1054
721,1509,802,1508,802,1526,721,1527
140,669,202,670,202,689,139,688
824,3,892,4,892,16,824,15
815,929,895,930,895,942,815,941
62,434,125,432,125,452,62,453
333,434,412,433,412,452,334,453
994,261,1053,262,1053,274,994,272
174,357,240,358,240,375,174,375
62,394,125,392,126,412,62,414
925,636,994,635,994,653,925,654
426,434,495,433,495,452,426,453
120,1599,211,1600,211,1615,120,1615
1046,1216,1102,1214,1102,1230,1046,1232
713,825,763,824,763,836,713,837
721,636,804,636,804,653,721,653
140,1540,200,1542,199,1563,140,1561
1115,675,1174,674,1174,686,1115,687
190,755,256,753,257,765,191,767
198,1599,291,1600,291,1614,198,1614
725,584,804,581,804,600,726,603
343,1458,416,1456,417,1473,343,1475
138,166,250,164,251,180,139,183
63,134,137,133,137,147,63,148
354,1072,413,1071,414,1088,355,1089
1112,1465,1175,1465,1175,1477,1112,1476
142,435,206,433,206,452,142,454
342,584,412,583,413,601,343,602
1116,642,1186,643,1185,656,1115,654
64,1267,127,1265,127,1285,64,1286
62,1005,139,1004,139,1019,62,1020
1135,2,1194,3,1194,16,1135,16
692,1240,737,1241,736,1253,691,1252
1113,1545,1176,1547,1176,1560,1113,1559
1180,675,1230,674,1230,687,1180,688
535,586,591,584,592,601,535,603
992,1545,1052,1546,1052,1561,992,1561
705,158,756,159,756,171,705,170
376,27,453,27,453,42,376,43
90,55,159,56,159,67,89,66
1058,1546,1109,1545,1109,1559,1059,1560
1116,1583,1168,1582,1168,1604,1116,1605
923,1594,970,1593,971,1608,924,1609
984,131,1039,128,1039,146,985,149
724,1459,805,1456,805,1473,725,1476
31,312,89,312,89,325,31,326
992,158,1048,159,1048,171,992,170
983,951,1057,949,1057,968,984,971
705,1030,758,1029,758,1041,705,1042
1046,1053,1101,1051,1102,1069,1047,1071
1108,928,1157,927,1157,939,1109,940
89,930,168,928,168,939,89,942
447,395,491,393,492,412,448,413
1105,979,1154,979,1154,992,1105,991
864,1545,945,1546,944,1560,864,1559
163,134,207,133,207,147,163,149
691,384,737,384,738,395,691,396
305,754,365,754,365,767,305,766
144,1308,205,1307,206,1325,144,1326
353,395,426,394,426,412,353,414
879,1299,939,1298,940,1312,879,1312
74,261,120,262,119,274,74,273
225,395,332,394,332,413,225,414
358,1039,400,1038,400,1053,358,1054
779,27,825,26,825,39,779,40
27,542,87,543,87,557,27,556
1044,1103,1118,1103,1118,1123,1044,1123
366,754,426,753,426,766,366,767
412,730,467,731,467,745,411,744
48,731,95,730,95,744,48,745
67,166,132,164,132,181,67,182
968,1575,1035,1573,1035,1587,968,1589
1116,1517,1186,1516,1187,1527,1116,1529
226,1269,332,1268,332,1286,226,1288
29,929,81,928,81,940,30,941
40,1626,112,1623,113,1636,40,1638
90,1435,149,1434,149,1447,90,1448
345,636,413,635,413,653,345,654
35,55,80,55,80,68,35,68
722,77,792,75,792,95,723,96
1178,1546,1229,1545,1230,1558,1179,1560
876,370,905,371,905,382,876,381
882,426,940,427,940,439,881,439
212,1543,253,1542,253,1558,213,1558
1048,393,1087,392,1087,412,1048,413
343,1510,411,1509,411,1526,344,1527
998,1081,1050,1080,1050,1092,999,1093
399,900,461,901,461,918,399,918
238,1,304,3,304,15,238,14
89,561,145,560,145,574,89,574
353,1269,401,1267,401,1284,354,1285
993,1030,1044,1030,1044,1042,993,1041
982,1002,1040,1002,1040,1020,982,1021
709,1182,774,1183,774,1196,708,1195
205,672,251,671,251,686,205,687
695,370,736,370,736,381,695,381
225,635,266,634,266,652,225,653
1183,1465,1229,1464,1229,1477,1184,1478
885,912,927,911,927,922,885,923
27,979,85,980,85,992,26,992
430,753,488,754,488,767,430,766
750,895,802,894,803,905,750,907
26,1417,96,1415,96,1429,27,1431
235,877,302,878,302,890,235,889
710,311,774,312,774,325,710,325
1047,1267,1087,1266,1088,1286,1048,1286
29,1183,89,1182,89,1196,29,1197
691,1256,739,1255,739,1267,691,1268
1032,108,1076,107,1077,118,1033,120
722,343,764,342,764,357,723,358
1088,261,1132,262,1132,272,1088,272
31,106,89,106,89,119,31,120
97,543,144,544,144,557,96,556
310,27,365,26,365,41,311,42
174,1228,240,1228,240,1246,174,1246
447,1266,491,1265,491,1284,448,1285
707,1132,750,1133,750,1145,707,1144
894,878,946,877,946,888,894,889
772,427,821,426,821,438,772,439
1046,285,1087,284,1088,300,1046,301
992,978,1031,979,1031,991,992,990
709,262,749,263,749,273,709,273
273,1072,342,1071,343,1087,273,1089
706,56,746,56,746,68,706,67
1139,561,1178,561,1178,573,1139,573
987,561,1027,562,1027,573,987,573
976,1593,1015,1595,1015,1609,976,1608
1059,675,1107,674,1107,686,1060,688
442,165,483,164,483,181,443,183
743,980,790,980,790,992,743,993
1178,895,1228,893,1228,905,1178,907
294,169,342,168,342,181,294,182
817,57,894,56,894,68,817,68
224,1458,268,1456,269,1473,225,1475
721,1213,765,1212,766,1229,721,1230
1031,980,1079,979,1079,992,1031,992
300,1040,340,1039,341,1052,301,1054
1182,562,1216,562,1216,573,1182,573
1070,1030,1120,1029,1120,1042,1070,1042
1180,591,1229,589,1229,603,1181,604
1123,28,1179,27,1179,41,1123,42
1052,1328,1086,1326,1087,1346,1052,1347
1087,1132,1133,1133,1133,1145,1087,1143
922,895,981,893,982,906,923,908
144,396,205,394,206,411,144,413
29,1132,67,1133,67,1144,29,1144
743,108,787,107,787,118,743,119
1108,592,1177,591,1177,602,1108,603
740,210,786,208,787,221,741,222
989,878,1029,877,1029,888,989,889
1071,158,1121,158,1121,170,1071,170
312,901,351,900,352,917,312,918
1068,29,1122,28,1122,41,1069,42
403,878,453,877,454,888,403,889
1107,106,1152,107,1152,118,1107,118
3,1600,45,1601,45,1616,3,1616
154,1435,183,1434,184,1445,154,1446
159,56,205,56,205,67,159,67
358,167,401,166,401,181,358,182
704,425,734,426,734,438,703,437
769,1299,823,1300,823,1312,769,1311
1007,584,1036,583,1037,601,1008,603
225,585,267,582,268,600,227,603
704,1298,737,1299,737,1312,704,1311
204,731,286,729,287,743,205,745
398,1036,427,1036,428,1053,399,1053
182,312,215,312,215,324,182,324
1035,929,1082,928,1082,940,1035,941
537,1511,590,1510,590,1525,538,1526
161,1004,206,1005,206,1020,161,1020
1110,57,1155,55,1155,66,1110,68
1133,312,1159,313,1159,324,1133,324
94,981,131,981,131,991,94,991
308,314,340,313,340,324,308,324
443,1037,482,1036,483,1053,443,1054
184,1183,215,1184,215,1195,183,1194
133,105,183,107,183,119,132,116
994,674,1052,674,1051,688,994,688
1134,1435,1178,1434,1178,1447,1135,1447
143,1267,205,1265,206,1284,144,1285
2,729,46,730,45,747,2,746
536,1458,594,1455,595,1473,537,1475
756,1031,796,1030,796,1042,757,1042
14,585,43,584,44,601,15,602
798,110,830,109,830,120,798,120
562,561,590,562,590,573,561,572
741,1081,790,1080,790,1093,741,1093
369,561,399,562,399,573,368,572
826,1298,863,1299,863,1311,826,1311
780,369,825,371,825,380,780,379
352,3,399,4,399,15,351,14
610,901,641,901,641,914,610,914
132,978,184,979,184,991,132,990
759,160,796,159,796,170,759,171
753,912,787,911,788,922,753,923
995,1131,1052,1133,1052,1146,995,1144
311,877,348,878,348,889,311,888
1014,911,1052,910,1053,922,1014,923
