120,42,124,42,124,50,120,50,a
128,42,160,42,160,50,128,50,Employee's
162,42,178,42,178,50,162,50,social
180,42,202,42,202,50,180,50,security
203,42,224,42,224,50,203,50,number
379,41,395,41,395,50,379,50,Safe,
397,41,429,41,429,50,397,50,Accurate,
501,41,515,41,515,50,501,50,Visit
517,41,526,41,526,50,517,50,the
528,41,540,41,540,50,528,50,IRS
542,41,567,41,567,50,542,50,Website
304,52,317,52,317,60,304,60,OMB
319,52,328,52,328,60,319,60,No.
330,52,357,52,357,60,330,60,1545-0008
379,51,399,51,399,61,379,61,FAST!
403,51,416,51,416,61,403,61,Use
501,51,507,51,507,61,501,61,at
509,51,563,51,563,61,509,61,www.irs.gov/efile.
27,63,31,63,31,71,27,71,b
35,63,59,63,59,71,35,71,Employer
61,63,92,63,92,71,61,71,identification
94,63,114,63,114,71,94,71,number
333,63,336,63,336,71,333,71,1
347,63,367,63,367,71,347,71,Wages,
369,63,379,63,379,71,369,71,tips,
381,63,394,63,394,71,381,71,other
395,63,431,63,431,71,395,71,compensation
466,63,469,63,469,71,466,71,2
480,63,500,63,500,71,480,71,Federal
501,63,520,63,520,71,501,71,income
522,63,529,63,529,71,522,71,tax
531,63,552,63,552,71,531,71,withheld
27,85,31,85,31,93,27,93,c
35,85,63,85,63,93,35,93,Employer's
65,85,81,85,81,93,65,93,name,
82,85,105,85,105,93,82,93,address,
106,85,116,85,116,93,106,93,and
117,85,126,85,126,93,117,93,ZIP
128,85,140,85,140,93,128,93,code
333,85,336,85,336,93,333,93,3
347,85,363,85,363,93,347,93,Social
364,85,384,85,384,93,364,93,security
385,85,402,85,402,93,385,93,wages
466,85,469,85,469,93,466,93,4
480,85,496,85,496,93,480,93,Social
497,85,517,85,517,93,497,93,security
519,85,526,85,526,93,519,93,tax
528,85,549,85,549,93,528,93,withheld
333,107,336,107,336,115,333,115,5
347,107,371,107,371,115,347,115,Medicare
372,107,389,107,389,115,372,115,wages
390,107,400,107,400,115,390,115,and
402,107,411,107,411,115,402,115,tips
466,107,469,107,469,115,466,115,6
480,107,504,107,504,115,480,115,Medicare
506,107,513,107,513,115,506,115,tax
515,107,536,107,536,115,515,115,withheld
333,128,336,128,336,136,333,136,7
347,128,363,128,363,136,347,136,Social
364,128,384,128,384,136,364,136,security
385,128,394,128,394,136,385,136,tips
466,128,469,128,469,136,466,136,8
480,128,504,128,504,136,480,136,Allocated
506,128,514,128,514,136,506,136,tips
27,150,31,150,31,158,27,158,d
35,150,54,150,54,158,35,158,Control
55,150,75,150,75,158,55,158,number
333,150,336,150,336,158,333,158,9
347,150,370,150,370,158,347,158,Advance
371,150,381,150,381,158,371,158,EIC
382,150,404,150,404,158,382,158,payment
463,150,469,150,469,158,463,158,10
480,150,509,150,509,158,480,158,Dependent
510,150,522,150,522,158,510,158,care
523,150,543,150,543,158,523,158,benefits
27,172,31,172,31,180,27,180,e
35,172,64,172,64,180,35,180,Employee's
66,172,75,172,75,180,66,180,first
77,172,91,172,91,180,77,180,name
93,172,102,172,102,180,93,180,and
104,172,117,172,117,180,104,180,initial
150,172,161,172,161,180,150,180,Last
162,172,177,172,177,180,162,180,name
330,172,336,172,336,180,330,180,11
347,172,379,172,379,180,347,180,Nonqualified
381,172,394,172,394,180,381,180,plans
463,172,473,172,473,180,463,180,12a
481,172,491,172,491,180,481,180,See
493,172,526,172,526,180,493,180,instructions
527,172,535,172,535,180,527,180,for
536,172,547,172,547,180,536,180,box
548,172,555,172,555,180,548,180,12
339,197,358,197,358,204,339,204,Statutory
379,197,402,197,402,204,379,204,Retirement
419,197,441,197,441,204,419,204,Third-party
463,197,473,197,473,205,463,205,12b
339,203,359,203,359,210,339,210,employee
379,203,388,203,388,210,379,210,plan
419,203,427,203,427,210,419,210,sick
428,203,436,203,436,210,428,210,pay
330,222,336,222,336,230,330,230,14
347,222,361,222,361,230,347,230,Other
363,222,374,222,374,230,363,230,(see
376,222,399,222,399,230,376,230,enclosed
401,222,417,222,417,230,401,230,Notice
418,222,423,222,423,230,418,230,to
425,222,452,222,452,230,425,230,Employee)
463,222,473,222,473,230,463,230,12c
463,247,473,247,473,255,463,255,12d
27,274,29,274,29,282,27,282,f
35,274,64,274,64,281,35,281,Employee's
66,274,87,274,87,281,66,281,address
88,274,98,274,98,281,88,281,and
99,274,108,274,108,281,99,281,ZIP
110,274,122,274,122,281,110,281,code
24,281,31,281,31,289,24,289,15
35,281,48,281,48,289,35,289,State
62,281,90,281,90,289,62,289,Employer's
92,281,104,281,104,289,92,289,state
106,281,111,281,111,289,106,289,ID
113,281,132,281,132,289,113,289,number
181,281,187,281,187,289,181,289,16
190,281,204,281,204,289,190,289,State
205,281,223,281,223,289,205,289,wages,
225,281,235,281,235,289,225,289,tips,
237,281,246,281,246,289,237,289,etc.
268,281,275,281,275,289,268,289,17
278,281,291,281,291,289,278,289,State
293,281,312,281,312,289,293,289,income
313,281,321,281,321,289,313,289,tax
354,281,360,281,360,289,354,289,18
363,281,377,281,377,289,363,289,Local
379,281,397,281,397,289,379,289,wages,
398,281,409,281,409,289,398,289,tips,
410,281,420,281,420,289,410,289,etc.
447,281,453,281,453,289,447,289,19
457,281,470,281,470,289,457,289,Local
472,281,490,281,490,289,472,289,income
492,281,500,281,500,289,492,289,tax
532,281,539,281,539,289,532,289,20
542,281,561,281,561,289,542,289,Locality
563,281,577,281,577,289,563,289,name
85,324,113,324,113,339,85,339,Wage
116,324,135,324,135,339,116,339,and
137,324,155,324,155,339,137,339,Tax
420,328,456,328,456,338,420,338,Department
458,328,464,328,464,338,458,338,of
466,328,475,328,475,338,466,338,the
477,328,532,328,532,338,477,338,Treasury--Internal
534,328,561,328,561,338,534,338,Revenue
563,328,586,328,586,338,563,338,Service
85,338,136,338,136,352,85,352,Statement
24,351,42,351,42,362,24,362,Copy
44,351,64,351,64,362,44,362,B--To
66,351,76,351,76,362,66,362,Be
78,351,96,351,96,362,78,362,Filed
98,351,113,351,113,362,98,362,with
115,351,157,351,157,362,115,362,Employee's
159,351,194,351,194,362,159,362,FEDERAL
196,351,209,351,209,362,196,362,Tax
211,351,236,351,236,362,211,362,Return
24,361,38,361,38,371,24,371,This
40,361,78,361,78,371,40,371,information
80,361,85,361,85,371,80,371,is
88,361,106,361,106,371,88,371,being
108,361,139,361,139,371,108,371,furnished
141,361,148,361,148,371,141,371,to
150,361,161,361,161,371,150,371,the
163,361,188,361,188,371,163,371,Internal
190,361,221,361,221,371,190,371,Revenue
223,361,250,361,250,371,223,371,Service.
120,414,124,414,124,422,120,422,a
128,414,160,414,160,422,128,422,Employee's
162,414,178,414,178,422,162,422,social
180,414,202,414,202,422,180,422,security
203,414,224,414,224,422,203,422,number
304,425,317,425,317,433,304,433,OMB
319,425,328,425,328,433,319,433,No.
330,425,357,425,357,433,330,433,1545-0008
27,436,31,436,31,444,27,444,b
35,436,59,436,59,444,35,444,Employer
61,436,92,436,92,444,61,444,identification
94,436,114,436,114,444,94,444,number
333,436,336,436,336,444,333,444,1
347,436,367,436,367,444,347,444,Wages,
369,436,379,436,379,444,369,444,tips,
381,436,394,436,394,444,381,444,other
395,436,431,436,431,444,395,444,compensation
466,436,469,436,469,444,466,444,2
480,436,500,436,500,444,480,444,Federal
501,436,520,436,520,444,501,444,income
522,436,529,436,529,444,522,444,tax
531,436,552,436,552,444,531,444,withheld
27,457,31,457,31,465,27,465,c
35,457,63,457,63,465,35,465,Employer's
65,457,81,457,81,465,65,465,name,
82,457,105,457,105,465,82,465,address,
106,457,116,457,116,465,106,465,and
117,457,126,457,126,465,117,465,ZIP
128,457,140,457,140,465,128,465,code
